Positive, Negative, Index
8,32,0.2407
9,31,0.26737
10,30,0.29372
11,29,0.31974
12,28,0.34581
13,27,0.37164
14,26,0.39726
15,25,0.42273
16,24,0.44802
17,23,0.47308
18,22,0.498
19,21,0.5232
20,20,0.54812
21,19,0.57286
22,18,0.59743
23,17,0.62188
24,16,0.64613
25,15,0.67029
26,14,0.69438
27,13,0.71826
28,12,0.7419
29,11,0.76552
30,10,0.78885
31,9,0.81205
32,8,0.83499
33,7,0.85767
34,6,0.88005
35,5,0.90209
36,4,0.92368
37,3,0.94468
38,2,0.96484
39,1,0.9836
1,40,0.0396
2,39,0.07052
3,38,0.09949
4,37,0.12747
5,36,0.1548
6,35,0.18166
7,34,0.20816
8,33,0.23434
9,32,0.26031
10,31,0.28604
11,30,0.31152
12,29,0.33686
13,28,0.36212
14,27,0.38715
15,26,0.41207
16,25,0.4368
17,24,0.46136
18,23,0.48557
19,22,0.5102
20,21,0.53462
21,20,0.55885
22,19,0.58292
23,18,0.60687
24,17,0.63066
25,16,0.65421
26,15,0.67789
27,14,0.70134
28,13,0.72462
29,12,0.74772
30,11,0.77072
31,10,0.79349
32,9,0.81613
33,8,0.83852
34,7,0.86067
35,6,0.88253
36,5,0.90406
37,4,0.92517
38,3,0.94571
39,2,0.96544
40,1,0.98383
1,41,0.03833
2,40,0.06843
3,39,0.09666
4,38,0.12393
5,37,0.15059
6,36,0.17681
7,35,0.20266
8,34,0.22824
9,33,0.25357
10,32,0.27871
11,31,0.30363
12,30,0.32831
13,29,0.35304
14,28,0.37754
15,27,0.40188
16,26,0.42608
17,25,0.45012
18,24,0.47396
19,23,0.49772
20,22,0.52171
21,21,0.54545
22,20,0.56904
23,19,0.59248
24,18,0.61582
25,17,0.639
26,16,0.66203
27,15,0.6851
28,14,0.70796
29,13,0.73067
30,12,0.75324
31,11,0.77568
32,10,0.79792
33,9,0.82
34,8,0.84189
35,7,0.86352
36,6,0.8849
37,5,0.90595
38,4,0.92659
39,3,0.94669
40,2,0.96602
41,1,0.98406
1,42,0.03712
2,41,0.06643
3,40,0.09395
4,39,0.12056
5,38,0.14658
6,37,0.17217
7,36,0.19741
8,35,0.22241
9,34,0.24713
10,33,0.27172
11,32,0.29609
12,31,0.32018
13,30,0.34436
14,29,0.36834
15,28,0.39213
16,27,0.41582
17,26,0.43937
18,25,0.46275
19,24,0.48581
20,23,0.50932
21,22,0.53261
22,21,0.55573
23,20,0.57873
24,19,0.60159
25,18,0.62434
26,17,0.64692
27,16,0.66949
28,15,0.69196
29,14,0.71427
30,13,0.73639
31,12,0.75849
32,11,0.7804
33,10,0.80214
34,9,0.82369
35,8,0.84509
36,7,0.86624
37,6,0.88716
38,5,0.90774
39,4,0.92795
40,3,0.94763
41,2,0.96658
42,1,0.98427
1,43,0.03597
2,42,0.06454
3,41,0.09139
4,40,0.11735
5,39,0.14276
6,38,0.16775
7,37,0.19239
8,36,0.21685
9,35,0.24096
10,34,0.26504
11,33,0.28887
12,32,0.3125
13,31,0.33605
14,30,0.35953
15,29,0.38283
16,28,0.40601
17,27,0.42907
18,26,0.45198
19,25,0.47471
20,24,0.49741
21,23,0.5203
22,22,0.54297
23,21,0.56552
24,20,0.58791
25,19,0.61026
26,18,0.63245
27,17,0.65443
28,16,0.67657
29,15,0.69849
30,14,0.72029
31,13,0.7419
32,12,0.7635
33,11,0.78489
34,10,0.80616
35,9,0.82724
36,8,0.84815
37,7,0.86886
38,6,0.88931
39,5,0.90946
40,4,0.92925
41,3,0.94854
42,2,0.96711
43,1,0.98448
1,44,0.03488
2,43,0.06274
3,42,0.08894
4,41,0.1143
5,40,0.13911
6,39,0.16353
7,38,0.18763
8,37,0.21152
9,36,0.23514
10,35,0.25866
11,34,0.28197
12,33,0.30511
13,32,0.32808
14,31,0.35109
15,30,0.37392
16,29,0.39661
17,28,0.41919
18,27,0.44165
19,26,0.46396
20,25,0.48599
21,24,0.50847
22,23,0.53073
23,22,0.55285
24,21,0.57484
25,20,0.59672
26,19,0.61852
27,18,0.64018
28,17,0.66173
29,16,0.68331
30,15,0.70473
31,14,0.72602
32,13,0.74719
33,12,0.76828
34,11,0.78917
35,10,0.81
36,9,0.83063
37,8,0.85109
38,7,0.87135
39,6,0.89137
40,5,0.91111
41,4,0.93049
42,3,0.9494
43,2,0.96762
44,1,0.98468
1,45,0.03384
2,44,0.06101
3,43,0.0866
4,42,0.11138
5,41,0.13561
6,40,0.15948
7,39,0.18308
8,38,0.20643
9,37,0.22957
10,36,0.25253
11,35,0.27535
12,34,0.29803
13,33,0.32045
14,32,0.34301
15,31,0.36537
16,30,0.38757
17,29,0.40973
18,28,0.43173
19,27,0.45363
20,26,0.47534
21,25,0.49708
22,24,0.51897
23,23,0.54067
24,22,0.56225
25,21,0.58371
26,20,0.60511
27,19,0.6264
28,18,0.64752
29,17,0.66868
30,16,0.68975
31,15,0.71069
32,14,0.73149
33,13,0.75223
34,12,0.77285
35,11,0.79331
36,10,0.81368
37,9,0.83387
38,8,0.8539
39,7,0.87374
40,6,0.89335
41,5,0.91269
42,4,0.93169
43,3,0.95023
44,2,0.96811
45,1,0.98488
1,46,0.03286
2,45,0.05937
3,44,0.08436
4,43,0.10858
5,42,0.13228
6,41,0.15563
7,40,0.17871
8,39,0.20155
9,38,0.2242
10,37,0.24666
11,36,0.26903
12,35,0.29123
13,34,0.31325
14,33,0.33525
15,32,0.35717
16,31,0.37896
17,30,0.40064
18,29,0.42222
19,28,0.44369
20,27,0.46503
21,26,0.48612
22,25,0.50765
23,24,0.52897
24,23,0.55015
25,22,0.57123
26,21,0.59221
27,20,0.61312
28,19,0.63392
29,18,0.65454
30,17,0.67532
31,16,0.69591
32,15,0.71639
33,14,0.73671
34,13,0.75704
35,12,0.77722
36,11,0.79726
37,10,0.81719
38,9,0.83697
39,8,0.85659
40,7,0.87602
41,6,0.89524
42,5,0.9142
43,4,0.93283
44,3,0.95102
45,2,0.96858
46,1,0.98506
1,47,0.03191
2,46,0.0578
3,45,0.08223
4,44,0.1059
5,43,0.1291
6,42,0.15195
7,41,0.17453
8,40,0.19688
9,39,0.21906
10,38,0.24102
11,37,0.26296
12,36,0.2847
13,35,0.30631
14,34,0.32778
15,33,0.3493
16,32,0.37066
17,31,0.3919
18,30,0.41307
19,29,0.43414
20,28,0.45509
21,27,0.47587
22,26,0.49673
23,25,0.5177
24,24,0.53851
25,23,0.5592
26,22,0.57981
27,21,0.60034
28,20,0.62078
29,19,0.64112
30,18,0.66137
31,17,0.68166
32,16,0.70179
33,15,0.72184
34,14,0.74176
35,13,0.76166
36,12,0.7814
37,11,0.80105
38,10,0.82055
39,9,0.83995
40,8,0.85917
41,7,0.87821
42,6,0.89706
43,5,0.91565
44,4,0.93393
45,3,0.95179
46,2,0.96904
47,1,0.98524
1,48,0.03101
2,47,0.0563
3,46,0.08018
4,45,0.10333
5,44,0.12604
6,43,0.14841
7,42,0.17051
8,41,0.19238
9,40,0.21413
10,39,0.23564
11,38,0.25712
12,37,0.27844
13,36,0.29962
14,35,0.3206
15,34,0.34173
16,33,0.36268
17,32,0.3835
18,31,0.40428
19,30,0.42495
20,29,0.44552
21,28,0.46597
22,27,0.48619
23,26,0.50685
24,25,0.5273
25,24,0.54763
26,23,0.56787
27,22,0.58801
28,21,0.60811
29,20,0.62812
30,19,0.64796
31,18,0.66789
32,17,0.68772
33,16,0.70744
34,15,0.72707
35,14,0.7466
36,13,0.76607
37,12,0.7854
38,11,0.80467
39,10,0.82378
40,9,0.84279
41,8,0.86164
42,7,0.88032
43,6,0.8988
44,5,0.91705
45,4,0.93498
46,3,0.95252
47,2,0.96947
48,1,0.98541
1,49,0.03015
2,48,0.05486
3,47,0.07822
4,46,0.10088
5,45,0.12311
6,44,0.14501
7,43,0.16666
8,42,0.18807
9,41,0.20938
10,40,0.2305
11,39,0.25152
12,38,0.27241
13,37,0.29319
14,36,0.3138
15,35,0.33445
16,34,0.35501
17,33,0.37546
18,32,0.39582
19,31,0.4161
20,30,0.4363
21,29,0.4564
22,28,0.47632
23,27,0.49638
24,26,0.5165
25,25,0.53648
26,24,0.55636
27,23,0.57617
28,22,0.5959
29,21,0.61556
30,20,0.63513
31,19,0.65457
32,18,0.67413
33,17,0.69354
34,16,0.71286
35,15,0.73205
36,14,0.75124
37,13,0.77031
38,12,0.78925
39,11,0.80815
40,10,0.8269
41,9,0.84552
42,8,0.86401
43,7,0.88235
44,6,0.90048
45,5,0.91839
46,4,0.936
47,3,0.95322
48,2,0.96989
49,1,0.98558
1,50,0.02933
2,49,0.05349
3,48,0.07634
4,47,0.09853
5,46,0.12029
6,45,0.14174
7,44,0.16295
8,43,0.18396
9,42,0.20483
10,41,0.22554
11,40,0.24612
12,39,0.26663
13,38,0.28701
14,37,0.30726
15,36,0.32743
16,35,0.34763
17,34,0.3677
18,33,0.38766
19,32,0.40759
20,31,0.42742
21,30,0.44716
22,29,0.4668
23,28,0.48624
24,27,0.50608
25,26,0.52573
26,25,0.54527
27,24,0.56474
28,23,0.5841
29,22,0.60346
30,21,0.62271
31,20,0.64186
32,19,0.66098
33,18,0.68011
34,17,0.69911
35,16,0.71805
36,15,0.73685
37,14,0.75569
38,13,0.77438
39,12,0.79297
40,11,0.81149
41,10,0.82989
42,9,0.84816
43,8,0.8663
44,7,0.88429
45,6,0.9021
46,5,0.91968
47,4,0.93698
48,3,0.9539
49,2,0.9703
50,1,0.98574
1,51,0.02855
2,50,0.05216
3,49,0.07454
4,48,0.09627
5,47,0.11758
6,46,0.1386
