Time,Positive,Negative,Value
15,6,5,-2.70374
15,7,4,-2.70374
15,8,3,-2.70374
15,9,2,-2.70374
15,10,1,-2.70374
15,1,11,-2.20757
15,2,10,-2.20757
15,3,9,-2.20757
15,4,8,-2.20757
15,5,7,-2.20757
15,6,6,-2.20757
15,7,5,-2.20757
15,8,4,-2.20757
15,9,3,-2.20757
15,10,2,-2.20757
15,11,1,-2.20757
15,1,12,-1.73252
15,2,11,-1.73252
15,3,10,-1.73252
15,4,9,-1.73252
15,5,8,-1.73252
15,6,7,-1.73252
15,7,6,-1.73252
15,8,5,-1.73252
15,9,4,-1.73252
15,10,3,-1.73252
15,11,2,-1.73252
15,12,1,-1.73252
15,1,13,-1.27611
15,2,12,-1.27611
15,3,11,-1.27611
15,4,10,-1.27611
15,5,9,-1.27611
15,6,8,-1.27611
15,7,7,-1.27611
15,8,6,-1.27611
15,9,5,-1.27611
15,10,4,-1.27611
15,11,3,-1.27611
15,12,2,-1.27611
15,13,1,-1.27611
15,1,14,-0.8363
15,2,13,-0.8363
15,3,12,-0.8363
15,4,11,-0.8363
15,5,10,-0.8363
15,6,9,-0.8363
15,7,8,-0.8363
15,8,7,-0.8363
15,9,6,-0.8363
15,10,5,-0.8363
15,11,4,-0.8363
15,12,3,-0.8363
15,13,2,-0.8363
15,14,1,-0.8363
15,1,15,-0.411404
15,2,14,-0.411404
15,3,13,-0.411404
15,4,12,-0.411404
15,5,11,-0.411404
15,6,10,-0.411404
15,7,9,-0.411404
15,8,8,-0.411404
15,9,7,-0.411404
15,10,6,-0.411404
15,11,5,-0.411404
15,12,4,-0.411404
15,13,3,-0.411404
15,14,2,-0.411404
15,15,1,-0.411404
15,1,16,0
15,2,15,0
15,3,14,0
15,4,13,0
15,5,12,0
15,6,11,0
15,7,10,0
15,8,9,0
15,9,8,0
15,10,7,0
15,11,6,0
15,12,5,0
15,13,4,0
15,14,3,0
15,15,2,0
15,16,1,0
16,1,1,-9.83502
16,1,2,-8.65761
16,2,1,-8.65761
16,1,3,-7.69626
16,2,2,-7.69626
16,3,1,-7.69626
16,1,4,-6.8637
16,2,3,-6.8637
16,3,2,-6.8637
16,4,1,-6.8637
16,1,5,-6.11904
16,2,4,-6.11904
16,3,3,-6.11904
16,4,2,-6.11904
16,5,1,-6.11904
16,1,6,-5.43926
16,2,5,-5.43926
16,3,4,-5.43926
16,4,3,-5.43926
16,5,2,-5.43926
16,6,1,-5.43926
16,1,7,-4.80991
16,2,6,-4.80991
16,3,5,-4.80991
16,4,4,-4.80991
